timestamp,address,date,type,weather,road_conditions,lightning,vehicles,num_of_participants,num_dead,num_injured,lon,lat
2016-10-05T07:15:00Z,"Ленинский район, г Астрахань, ул Автозаправочная, 14 д",2016-10-05,Столкновение,Ясно,Сухое,Светлое время суток,3,4,0,1,48.106499,46.40612
2016-10-04T11:00:00Z,"Ленинский район, г Астрахань, ул Савушкина, 32-б",2016-10-04,Наезд на пешехода,Ясно,Пыльное,Светлое время суток,1,2,0,1,48.048145,46.366901
2016-10-04T16:55:00Z,"Советский район, г Астрахань, ул Ахшарумова, 88",2016-10-04,Столкновение,Ясно,Сухое,Светлое время суток,2,3,0,1,48.039179,46.337772
2016-10-04T16:50:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 267",2016-10-04,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,3,0,2,47.96983,46.278089
2016-10-04T15:50:00Z,"Советский район, г Астрахань, ул Николая Островского, 154",2016-10-04,Наезд на пешехода,Ясно,Пыльное,Светлое время суток,1,2,0,1,48.068815,46.338879
2016-10-04T09:15:00Z,"Ленинский район, г Астрахань, пл Вокзальная, 19",2016-10-04,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,48.057793,46.359476
2016-10-04T00:20:00Z,"Трусовский район, г Астрахань, пер Пожарского, 7",2016-10-04,Наезд на препятствие,Ясно,Пыльное,"В темное время суток, освещение отсутствует",1,3,0,2,48.004343,46.360434
2016-10-03T17:00:00Z,"Ленинский район, г Астрахань, ул Бориса Алексеева, 2-б",2016-10-03,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.06524,46.366398
2016-10-03T22:45:00Z,"Советский район, г Астрахань, ул Боевая, 72",2016-10-03,Столкновение,Ясно,Сухое,"В темное время суток, освещение включено",2,2,0,2,48.021384,46.328699
2016-10-03T10:25:00Z,Наримановский район,2016-10-03,Столкновение,Ясно,Сухое,Светлое время суток,3,5,0,3,47.33269,46.425089
2016-10-03T21:00:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 36",2016-10-03,Столкновение,Ясно,Сухое,"В темное время суток, освещение включено",2,2,0,1,48.052636,46.361192
2016-10-03T12:25:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, 5",2016-10-03,Столкновение,Ясно,Сухое,Светлое время суток,3,3,0,1,48.026028,46.348317
2016-10-03T17:10:00Z,"Ахтубинский район, г Ахтубинск, ул Сталинградская, 1",2016-10-03,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,46.161961,48.288799
2016-10-03T06:15:00Z,"Советский район, г Астрахань, ул Николая Островского, 81",2016-10-03,Наезд на стоящее ТС,Ясно,Сухое,Светлое время суток,3,2,0,2,48.034679,46.334698
2016-10-03T18:00:00Z,"Харабалинский район, г Харабали, ул Гагарина, 132",2016-10-03,Столкновение,Ясно,Сухое,"В темное время суток, освещение не включено",2,2,0,1,47.265263,47.401118
