timestamp,address,vehicle_id,type_of_vehicle,model_of_vehicle,color,technical_issues,year,engine_location,is_escaped
2017-03-16T09:00:00Z,"Кировский район, г Астрахань, ул Победы, 53",ТС1,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Синий,Технические неисправности отсутствуют,2011,Задний,Нет
2017-03-16T18:50:00Z,"Ленинский район, г Астрахань, ул Савушкина, 25к.1А",ТС1,"В-класс (малый) до 3,9 м",DAEWOO Nexia,Иные цвета,Технические неисправности отсутствуют,2011,Передний,Нет
2017-03-15T08:50:00Z,"Трусовский район, г Астрахань, ул Пирогова, 105",ТС1,"В-класс (малый) до 3,9 м",OPEL Astra,Черный,Технические неисправности отсутствуют,2011,Передний,Нет
2017-03-15T15:20:00Z,Енотаевский район,ТС1,"В-класс (малый) до 3,9 м",УАЗ Прочие модели УАЗ,Белый,Технические неисправности отсутствуют,2016,Полноприводный,Нет
2017-03-15T15:20:00Z,Енотаевский район,ТС2,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2105 модификации,Иные цвета,Технические неисправности отсутствуют,1996,Передний,Нет
2017-03-14T15:40:00Z,"Кировский район, г Астрахань, ул Академика Королева, 22",ТС1,Минивэны и универсалы повышенной вместимости,MAZDA Прочие модели Mazda,Белый,Технические неисправности отсутствуют,1999,Задний,Нет
2017-03-14T13:35:00Z,"Ленинский район, г Астрахань, ул Перевозная 1-я, 80 1",ТС1,"В-класс (малый) до 3,9 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Зеленый,Технические неисправности отсутствуют,1999,Передний,Да
2017-03-14T08:55:00Z,Наримановский район,ТС1,"В-класс (малый) до 3,9 м",FORD Fusion,Красный,Технические неисправности отсутствуют,2007,Передний,Нет
2017-03-14T19:00:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, 0",ТС1,Минивэны и универсалы повышенной вместимости,SUZUKI Grand Vitara,Серый,Технические неисправности отсутствуют,2003,Полноприводный,Нет
2017-03-14T19:00:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, 0",ТС2,Велосипеды,NA,Синий,Технические неисправности отсутствуют,NA,Иной,Нет
2017-03-14T22:35:00Z,"Советский район, г Астрахань, ул Боевая, 72",ТС1,"Транспортные средства оперативно-служебные для перевозки лиц, находящихся под стражей",FIAT Прочие модели FIAT,Многоцветный,Технические неисправности отсутствуют,2011,Задний,Нет
2017-03-14T22:35:00Z,"Советский район, г Астрахань, ул Боевая, 72",ТС2,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2115 и модификации,Многоцветный,Технические неисправности отсутствуют,2005,Передний,Нет
2017-03-14T21:20:00Z,"Советский район, г Астрахань, ул Аэропортовское шоссе, 5",ТС1,"В-класс (малый) до 3,9 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Многоцветный,Технические неисправности отсутствуют,2000,Передний,Нет
2017-03-14T21:20:00Z,"Советский район, г Астрахань, ул Аэропортовское шоссе, 5",ТС2,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2112 и модификации,Многоцветный,Технические неисправности отсутствуют,2003,Передний,Нет
2017-03-13T18:35:00Z,"Наримановский район, п Трусово, ул Школьная, 7В",ТС1,"В-класс (малый) до 3,9 м",NISSAN Cube,Белый,Технические неисправности отсутствуют,2000,Передний,Нет
2017-03-13T18:35:00Z,"Наримановский район, п Трусово, ул Школьная, 7В",ТС2,"В-класс (малый) до 3,9 м","ГАЗ ГАЗ 3110, 3110-101, 3110-111, 3110-311, 3110-331, 3110-341, 3110-411, 3110-441, 3110-600",Синий,Технические неисправности отсутствуют,2006,Задний,Нет
2017-03-13T13:30:00Z,"Кировский район, г Астрахань, ул Казанская, 0",ТС1,"В-класс (малый) до 3,9 м",HYUNDAI Solaris,Белый,Технические неисправности отсутствуют,2014,Передний,Нет
2017-03-13T13:30:00Z,"Кировский район, г Астрахань, ул Казанская, 0",ТС2,"В-класс (малый) до 3,9 м",LIFAN Solano,Белый,Технические неисправности отсутствуют,2010,Передний,Нет
2017-03-13T09:45:00Z,Икрянинский район,ТС1,Самосвалы,ГАЗ Прочие модели ГАЗ,Синий,Технические неисправности отсутствуют,1981,Передний,Нет
2017-03-13T09:45:00Z,Икрянинский район,ТС2,"А-класс (особо малый) до 3,5 м",ВАЗ  Жигули  ВАЗ-2106 модификации,Иные цвета,Технические неисправности отсутствуют,1994,Передний,Нет
2017-03-12T22:37:00Z,"Трусовский район, г Астрахань, ул Чкалова, 114 б",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2104 модификации,Красный,Технические неисправности отсутствуют,1988,Задний,Нет
2017-03-12T22:37:00Z,"Трусовский район, г Астрахань, ул Чкалова, 114 б",ТС2,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2114 и модификации,Зеленый,Технические неисправности отсутствуют,2009,Передний,Нет
2017-03-11T12:30:00Z,"Ленинский район, г Астрахань, ул Сун Ятсена, 11",ТС1,"В-класс (малый) до 3,9 м",VOLKSWAGEN Polo,Синий,Технические неисправности отсутствуют,2011,Передний,Нет
2017-03-11T12:38:00Z,"Советский район, г Астрахань, ул Звездная, 13",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2105 модификации,Зеленый,Технические неисправности отсутствуют,2009,Задний,Нет
2017-03-11T12:45:00Z,"Ленинский район, г Астрахань, ул 28 Армии, 6",ТС1,Прочие грузовые автомобили,МАЗ-МАН Прочие модели МАЗ-МАН,Белый,Технические неисправности отсутствуют,2016,Задний,Нет
2017-03-11T12:15:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 207-а",ТС1,Прочие одноярусные,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Технические неисправности отсутствуют,2014,Задний,Нет
2017-03-11T10:10:00Z,Красноярский район,ТС1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ ВАЗ 2112 и модификации,Серый,Технические неисправности отсутствуют,2006,Передний,Нет
2017-03-11T11:00:00Z,"Камызякский район, п Октябрьский, ул Рыбацкая, 27",ТС1,Велосипеды,NA,Многоцветный,Технические неисправности отсутствуют,NA,Иной,Нет
2017-03-11T12:00:00Z,"Кировский район, г Астрахань, ул Куликова, 62-д",ТС1,"В-класс (малый) до 3,9 м",KIA Cerato,Черный,Технические неисправности отсутствуют,2011,Передний,Нет
2017-03-10T17:46:00Z,"Трусовский район, г Астрахань, ул Магистральная, 29",ТС1,"В-класс (малый) до 3,9 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Серый,Ремни безопасности неработоспособны или имеют видимые надрывы,1993,Передний,Нет
2017-03-10T17:46:00Z,"Трусовский район, г Астрахань, ул Магистральная, 29",ТС2,Прочие легковые автомобили,"ГАЗ ГАЗ 3110, 3110-101, 3110-111, 3110-311, 3110-331, 3110-341, 3110-411, 3110-441, 3110-600",Серый,Технические неисправности отсутствуют,2005,Задний,Нет
2017-03-10T07:40:00Z,"Трусовский район, г Астрахань, ул Пушкина, 46",ТС1,Прочие одноярусные,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Отсутствуют предусмотренные конструкцией транспортного средства ремни безопасности и(или) подголовники сидений,2008,Задний,Нет
2017-03-10T07:40:00Z,"Трусовский район, г Астрахань, ул Пушкина, 46",ТС2,"Транспортные средства оперативно-служебные для перевозки лиц, находящихся под стражей",УАЗ 2206,Серый,Технические неисправности отсутствуют,2013,Полноприводный,Нет
2017-03-10T07:40:00Z,"Трусовский район, г Астрахань, ул Пушкина, 46",ТС3,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Белый,Технические неисправности отсутствуют,2011,Задний,Нет
